PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Title,GrpSize,FareCat,AgeCat
1,0,3,male,1,0,S,Mr,couple,0-10,16-32
2,1,1,female,1,0,C,Mrs,couple,70-100,32-48
3,1,3,female,0,0,S,Miss,solo,0-10,16-32
4,1,1,female,1,0,S,Mrs,couple,40-70,32-48
5,0,3,male,0,0,S,Mr,solo,0-10,32-48
6,0,3,male,0,0,Q,Mr,solo,0-10,16-32
7,0,1,male,0,0,S,Mr,solo,40-70,48-64
8,0,3,male,3,1,S,Master,large group,10-25,0-16
9,1,3,female,0,2,S,Mrs,group,10-25,16-32
10,1,2,female,1,0,C,Mrs,couple,25-40,0-16
11,1,3,female,1,1,S,Miss,group,10-25,0-16
12,1,1,female,0,0,S,Miss,solo,25-40,48-64
13,0,3,male,0,0,S,Mr,solo,0-10,16-32
14,0,3,male,1,5,S,Mr,large group,25-40,32-48
15,0,3,female,0,0,S,Miss,solo,0-10,0-16
16,1,2,female,0,0,S,Mrs,solo,10-25,48-64
17,0,3,male,4,1,Q,Master,large group,25-40,0-16
18,1,2,male,0,0,S,Mr,solo,10-25,16-32
19,0,3,female,1,0,S,Mrs,couple,10-25,16-32
20,1,3,female,0,0,C,Mrs,solo,0-10,16-32
21,0,2,male,0,0,S,Mr,couple,25-40,32-48
22,1,2,male,0,0,S,Mr,solo,10-25,32-48
23,1,3,female,0,0,Q,Miss,solo,0-10,0-16
24,1,1,male,0,0,S,Mr,solo,25-40,16-32
25,0,3,female,3,1,S,Miss,large group,10-25,0-16
26,1,3,female,1,5,S,Mrs,large group,25-40,32-48
27,0,3,male,0,0,C,Mr,solo,0-10,16-32
28,0,1,male,3,2,S,Mr,large group,100+,16-32
29,1,3,female,0,0,Q,Miss,solo,0-10,16-32
30,0,3,male,0,0,S,Mr,solo,0-10,16-32
31,0,1,male,0,0,C,Rare Title,solo,25-40,32-48
32,1,1,female,1,0,C,Mrs,couple,100+,32-48
33,1,3,female,0,0,Q,Miss,solo,0-10,16-32
34,0,2,male,0,0,S,Mr,solo,10-25,64+
35,0,1,male,1,0,C,Mr,couple,70-100,16-32
36,0,1,male,1,0,S,Mr,couple,40-70,32-48
37,1,3,male,0,0,C,Mr,solo,0-10,16-32
